  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   22    0   71.43  76.92    10     14   13      1     22    22   100.00
   2   27    0   66.67  77.78    14     21   18      3     27    27   100.00
   3   29    0   74.07 100.00    20     27   20      0     29    29   100.00
   4   27    0   82.61  90.48    19     23   21      1     27    27   100.00
   5   27    0   86.67  76.47    13     15   17      2     27    27   100.00
   6   29    0   75.00  83.33    15     20   18      1     29    29   100.00
   7   25    0   64.71  73.33    11     17   15      2     25    25   100.00
   8   30    0   82.14  88.46    23     28   26      0     30    30   100.00
   9   27    0   95.83  95.83    23     24   24      0     27    27   100.00
  10   29    0   84.00  80.77    21     25   26      1     29    29   100.00
  11   25    0   73.91  80.95    17     23   21      2     25    25   100.00
  12   29    0   36.84  41.18     7     19   17      6     29    29   100.00
  13   25    0   75.00  80.00    12     16   15      1     25    25   100.00
  14   27    0   91.67  95.65    22     24   23      0     27    27   100.00
  15   27    0   93.75  88.24    15     16   17      1     27    27   100.00
  16   28    0   77.27  73.91    17     22   23      4     28    28   100.00
  17   30    0   86.36  90.48    19     22   21      0     30    30   100.00
  18   31    0   82.76  88.89    24     29   27      3     31    31   100.00
  19   27    0   52.38  78.57    11     21   14      2     27    27   100.00
  20   30    0   96.15  96.15    25     26   26      1     30    30   100.00
  21   27    0   52.63  58.82    10     19   17      4     27    27   100.00
  22   28    0   95.45  87.50    21     22   24      0     28    28   100.00
  23   27    0   73.91  85.00    17     23   20      3     27    27   100.00
  24   27    0   90.48  95.00    19     21   20      0     27    27   100.00
  25   13    0   75.00  75.00     9     12   12      2     13    13   100.00
  26   31    0   92.00  92.00    23     25   25      1     31    31   100.00
  27   29    0   85.71  81.82    18     21   22      1     29    29   100.00
  28   26    0   77.27  80.95    17     22   21      0     26    26   100.00
  29   28    0   90.91  95.24    20     22   21      0     28    28   100.00
  30   29    0   96.43  93.10    27     28   29      0     29    29   100.00
  31   28    0   76.19  76.19    16     21   21      2     28    28   100.00
  32   28    0   86.96 100.00    20     23   20      0     28    28   100.00
  33   30    0   96.00  85.71    24     25   28      0     30    30   100.00
  34   28    0   91.67  91.67    22     24   24      0     28    28   100.00
  35   26    0   86.96  90.91    20     23   22      1     26    26   100.00
  36   29    0   82.76  88.89    24     29   27      1     29    29   100.00
  37   27    0   85.00  89.47    17     20   19      1     27    27   100.00
  38   27    0   86.36  86.36    19     22   22      1     27    27   100.00
  39   28    0   84.00  87.50    21     25   24      1     28    28   100.00
  40   27    0   70.37  90.48    19     27   21      2     27    27   100.00
  41   30    0   76.00  79.17    19     25   24      2     30    30   100.00
  42   31    0   92.00  92.00    23     25   25      0     31    31   100.00
  43   27    0   90.91  90.91    20     22   22      0     27    27   100.00
  44   30    0   39.13  64.29     9     23   14      3     30    30   100.00
  45   28    0   80.00  84.21    16     20   19      0     28    28   100.00
  46   26    0   68.18  65.22    15     22   23      3     26    26   100.00
  47   23    0   63.16  85.71    12     19   14      2     23    23   100.00
  48   23    0   85.00  89.47    17     20   19      2     23    23   100.00
  49   25    0   90.48  79.17    19     21   24      0     25    25   100.00
  50   31    0   84.62  95.65    22     26   23      0     31    31   100.00
  51   29    0   83.33  90.91    20     24   22      0     29    29   100.00
  52   26    0   66.67  87.50    14     21   16      1     26    26   100.00
  53   27    0   91.30  91.30    21     23   23      0     27    27   100.00
  54   30    0   92.59  92.59    25     27   27      1     30    30   100.00
  55   26    0  100.00 100.00    22     22   22      0     26    26   100.00
  56   28    0  100.00 100.00    23     23   23      0     28    28   100.00
  57   26    0   87.50  91.30    21     24   23      0     26    26   100.00
  58   25    0   85.00  89.47    17     20   19      0     25    25   100.00
  59   27    0   95.83 100.00    23     24   23      0     27    27   100.00
  60   31    0   83.33  83.33    25     30   30      5     31    31   100.00
  61   27    0   45.00  64.29     9     20   14      4     27    27   100.00
  62   26    0   77.27  73.91    17     22   23      3     26    26   100.00
  63   23    0   76.47  92.86    13     17   14      1     23    23   100.00
  64   26    0   90.48  90.48    19     21   21      0     26    26   100.00
  65   28    0   80.00  80.00    16     20   20      1     28    28   100.00
  66   31    0   88.46  92.00    23     26   25      0     31    31   100.00
  67   29    0   92.00  92.00    23     25   25      0     29    29   100.00
  68   27    0   29.17  41.18     7     24   17      6     27    27   100.00
  69   31    0   89.66  86.67    26     29   30      0     31    31   100.00
  70   28    0   91.30  95.45    21     23   22      0     28    28   100.00
  71   28    0   79.17  79.17    19     24   24      1     28    28   100.00
  72   28    0   76.19  80.00    16     21   20      1     28    28   100.00
