  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   22    0  100.00 100.00    14     14   14      0     22    22   100.00
   2   27    0   95.24  95.24    20     21   21      0     27    27   100.00
   3   29    0   74.07  71.43    20     27   28      4     29    29   100.00
   4   27    0   73.91  80.95    17     23   21      1     27    27   100.00
   5   27    0   60.00  60.00     9     15   15      2     27    27   100.00
   6   29    0   95.00  95.00    19     20   20      0     29    29   100.00
   7   25    0   70.59  70.59    12     17   17      4     25    25   100.00
   8   30    0   82.14  79.31    23     28   29      3     30    30   100.00
   9   27    0   95.83  95.83    23     24   24      0     27    27   100.00
  10   29    0   84.00  95.45    21     25   22      1     29    29   100.00
  11   25    0  100.00 100.00    23     23   23      0     25    25   100.00
  12   29    0   73.68  73.68    14     19   19      3     29    29   100.00
  13   25    0   87.50 100.00    14     16   14      0     25    25   100.00
  14   27    0   83.33  83.33    20     24   24      3     27    27   100.00
  15   27    0   75.00  70.59    12     16   17      2     27    27   100.00
  16   28    0   77.27  77.27    17     22   22      3     28    28   100.00
  17   30    0   90.91  95.24    20     22   21      0     30    30   100.00
  18   31    0   79.31  85.19    23     29   27      2     31    31   100.00
  19   27    0   71.43  78.95    15     21   19      2     27    27   100.00
  20   30    0   92.31  92.31    24     26   26      1     30    30   100.00
  21   27    0   89.47  94.44    17     19   18      0     27    27   100.00
  22   28    0   95.45  91.30    21     22   23      0     28    28   100.00
  23   27    0   56.52  56.52    13     23   23      7     27    27   100.00
  24   27    0   90.48  95.00    19     21   20      0     27    27   100.00
  25   13    0   75.00  75.00     9     12   12      2     13    13   100.00
  26   31    0   96.00 100.00    24     25   24      0     31    31   100.00
  27   29    0   85.71  90.00    18     21   20      0     29    29   100.00
  28   26    0   95.45 100.00    21     22   21      0     26    26   100.00
  29   28    0   86.36  90.48    19     22   21      2     28    28   100.00
  30   29    0  100.00  93.33    28     28   30      0     29    29   100.00
  31   28    0   90.48  90.48    19     21   21      0     28    28   100.00
