  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   22    0   78.57  68.75    11     14   16      2     22    22   100.00
   2   27    0   66.67  58.33    14     21   24      3     27    25    92.59
   3   29    0   66.67  64.29    18     27   28      6     29    28    96.55
   4   27    0   86.96  95.24    20     23   21      0     27    27   100.00
   5   27    0   80.00  70.59    12     15   17      2     27    27   100.00
   6   29    0   90.00  85.71    18     20   21      0     29    25    86.21
   7   25    0   58.82  55.56    10     17   18      4     25    23    92.00
   8   30    0   92.86 100.00    26     28   26      0     30    27    90.00
   9   27    0  100.00 100.00    24     24   24      0     27    27   100.00
  10   29    0   72.00  72.00    18     25   25      4     29    29   100.00
  11   25    0   82.61  82.61    19     23   23      1     25    25   100.00
  12   29    0   57.89  64.71    11     19   17      4     29    27    93.10
  13   25    0   62.50  76.92    10     16   13      2     25    23    92.00
  14   27    0  100.00 100.00    24     24   24      0     27    26    96.30
  15   27    0   93.75 100.00    15     16   15      0     27    27   100.00
  16   28    0   59.09  61.90    13     22   21      3     28    25    89.29
  17   30    0   95.45 100.00    21     22   21      0     30    28    93.33
  18   31    0   86.21  86.21    25     29   29      3     31    30    96.77
  19   27    0   52.38  52.38    11     21   21      9     27    27   100.00
  20   30    0   80.77  80.77    21     26   26      1     30    28    93.33
  21   27    0   73.68  82.35    14     19   17      1     27    25    92.59
  22   28    0   95.45  91.30    21     22   23      0     28    28   100.00
  23   27    0   73.91  77.27    17     23   22      4     27    27   100.00
  24   27    0   95.24  95.24    20     21   21      0     27    26    96.30
  25   13    0   75.00  75.00     9     12   12      2     13    12    92.31
  26   31    0   92.00  88.46    23     25   26      1     31    31   100.00
  27   29    0   71.43  68.18    15     21   22      2     29    28    96.55
  28   26    0   77.27  70.83    17     22   24      2     26    25    96.15
  29   28    0   90.91  95.24    20     22   21      0     28    27    96.43
  30   29    0   85.71  80.00    24     28   30      1     29    28    96.55
  31   28    0   85.71  81.82    18     21   22      1     28    27    96.43
  32   28    0   86.96  95.24    20     23   21      0     28    27    96.43
  33   30    0   88.00  78.57    22     25   28      0     30    28    93.33
  34   28    0   83.33  80.00    20     24   25      0     28    27    96.43
  35   26    0   65.22  75.00    15     23   20      3     26    25    96.15
  36   29    0   93.10  96.43    27     29   28      0     29    28    96.55
  37   27    0   75.00  83.33    15     20   18      1     27    26    96.30
  38   27    0   77.27  80.95    17     22   21      1     27    26    96.30
  39   28    0  100.00  96.15    25     25   26      0     28    27    96.43
  40   27    0   74.07  90.91    20     27   22      2     27    25    92.59
