  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   22    0   71.43  90.91    10     14   11      1     22    22   100.00
   2   27    0   90.48  82.61    19     21   23      0     27    25    92.59
   3   29    0   81.48  75.86    22     27   29      2     29    28    96.55
   4   27    0   95.65 100.00    22     23   22      0     27    27   100.00
   5   27    0   86.67  81.25    13     15   16      0     27    27   100.00
   6   29    0   75.00  68.18    15     20   22      1     29    25    86.21
   7   25    0   64.71  52.38    11     17   21      5     25    23    92.00
   8   30    0   82.14  85.19    23     28   27      0     30    27    90.00
   9   27    0   91.67  95.65    22     24   23      0     27    27   100.00
  10   29    0   92.00 100.00    23     25   23      0     29    29   100.00
  11   25    0  100.00 100.00    23     23   23      0     25    25   100.00
  12   29    0   63.16  80.00    12     19   15      1     29    27    93.10
  13   25    0   68.75  78.57    11     16   14      1     25    23    92.00
  14   27    0   95.83  95.83    23     24   24      0     27    26    96.30
  15   27    0  100.00 100.00    16     16   16      0     27    27   100.00
  16   28    0   63.64  66.67    14     22   21      5     28    25    89.29
  17   30    0   86.36  86.36    19     22   22      0     30    28    93.33
  18   31    0   75.86  88.00    22     29   25      3     31    30    96.77
  19   27    0   71.43  78.95    15     21   19      2     27    27   100.00
  20   30    0   92.31  88.89    24     26   27      1     30    28    93.33
  21   27    0   89.47  94.44    17     19   18      0     27    25    92.59
  22   28    0   95.45  95.45    21     22   22      0     28    28   100.00
  23   27    0   56.52  56.52    13     23   23      7     27    27   100.00
  24   27    0   95.24  95.24    20     21   21      0     27    26    96.30
  25   13    0   75.00  75.00     9     12   12      2     13    12    92.31
  26   31    0   96.00 100.00    24     25   24      0     31    31   100.00
  27   29    0   95.24  90.91    20     21   22      0     29    28    96.55
  28   26    0   77.27  70.83    17     22   24      3     26    25    96.15
  29   28    0   81.82  90.00    18     22   20      0     28    27    96.43
  30   29    0   89.29  89.29    25     28   28      1     29    28    96.55
  31   28    0   90.48  86.36    19     21   22      0     28    27    96.43
  32   28    0   91.30  91.30    21     23   23      1     28    27    96.43
  33   30    0   92.00  92.00    23     25   25      0     30    28    93.33
  34   28    0   95.83  92.00    23     24   25      1     28    27    96.43
  35   26    0   95.65  95.65    22     23   23      0     26    25    96.15
  36   29    0   96.55  96.55    28     29   29      0     29    28    96.55
  37   27    0   65.00  72.22    13     20   18      2     27    26    96.30
  38   27    0   95.45  95.45    21     22   22      0     27    26    96.30
  39   28    0  100.00  96.15    25     25   26      0     28    27    96.43
  40   27    0   74.07  86.96    20     27   23      2     27    25    92.59
  41   30    0   80.00  83.33    20     25   24      2     30    30   100.00
  42   31    0   80.00  86.96    20     25   23      2     31    31   100.00
  43   27    0   81.82  85.71    18     22   21      0     27    25    92.59
  44   30    0   86.96  83.33    20     23   24      3     30    29    96.67
  45   28    0   95.00 100.00    19     20   19      0     28    27    96.43
  46   26    0   72.73  72.73    16     22   22      3     26    23    88.46
  47   23    0   57.89  78.57    11     19   14      3     23    23   100.00
  48   23    0   80.00  94.12    16     20   17      1     23    22    95.65
  49   25    0   95.24  86.96    20     21   23      0     25    24    96.00
  50   31    0   92.31  96.00    24     26   25      0     31    30    96.77
  51   29    0   91.67  88.00    22     24   25      2     29    28    96.55
  52   26    0   61.90  86.67    13     21   15      2     26    23    88.46
  53   27    0   86.96  90.91    20     23   22      0     27    27   100.00
  54   30    0   77.78  84.00    21     27   25      2     30    27    90.00
  55   26    0  100.00 100.00    22     22   22      0     26    25    96.15
  56   28    0  100.00 100.00    23     23   23      0     28    28   100.00
  57   26    0   83.33  95.24    20     24   21      1     26    26   100.00
  58   25    0   90.00  94.74    18     20   19      1     25    25   100.00
  59   27    0   87.50  87.50    21     24   24      1     27    27   100.00
  60   31    0   70.00  77.78    21     30   27      5     31    29    93.55
  61   27    0   80.00  69.57    16     20   23      4     27    26    96.30
  62   26    0   72.73  76.19    16     22   21      3     26    25    96.15
  63   23    0   70.59  85.71    12     17   14      1     23    22    95.65
  64   26    0   90.48  95.00    19     21   20      0     26    21    80.77
  65   28    0   75.00  75.00    15     20   20      1     28    28   100.00
  66   31    0  100.00 100.00    26     26   26      0     31    31   100.00
  67   29    0   84.00  84.00    21     25   25      4     29    29   100.00
  68   27    0   70.83  80.95    17     24   21      3     27    24    88.89
  69   31    0   89.66  89.66    26     29   29      1     31    30    96.77
  70   28    0   91.30  91.30    21     23   23      1     28    26    92.86
  71   28    0   75.00  66.67    18     24   27      3     28    26    92.86
  72   28    0   80.95  80.95    17     21   21      2     28    27    96.43
  73   24    0   68.42  72.22    13     19   18      4     24    24   100.00
  74   24    0   60.00  80.00    12     20   15      0     24    22    91.67
  75   30    0   88.89  96.00    24     27   25      0     30    27    90.00
  76   31    0   86.67  83.87    26     30   31      0     31    23    74.19
  77   32    0   75.86  81.48    22     29   27      0     32    30    93.75
  78   34    0   80.00  88.89    24     30   27      2     34    34   100.00
  79   35    0  100.00 100.00    26     26   26      0     35    35   100.00
  80   32    0   57.89  73.33    11     19   15      3     32    32   100.00
  81   33    0   87.50  75.00    21     24   28      2     33    33   100.00
  82   29    0   64.00  76.19    16     25   21      4     29    28    96.55
  83   30    0  100.00  95.83    23     23   24      0     30    30   100.00
  84   32    0  100.00  96.00    24     24   25      0     32    31    96.88
  85   31    0   54.17  61.90    13     24   21      6     31    31   100.00
  86   31    0   92.59 100.00    25     27   25      0     31    31   100.00
  87   35    0   75.86  84.62    22     29   26      2     35    34    97.14
  88   34    0   85.71  85.71    18     21   21      1     34    34   100.00
  89   31    0   93.33  93.33    28     30   30      1     31    30    96.77
  90   32    0   77.42  77.42    24     31   31      2     32    32   100.00
  91   34    0   80.65  96.15    25     31   26      1     34    33    97.06
  92   28    0   66.67  77.78    14     21   18      2     28    24    85.71
  93   31    0   87.50 100.00    21     24   21      0     31    31   100.00
  94   33    0   72.73  72.73    24     33   33      6     33    33   100.00
  95   34    0   84.85  90.32    28     33   31      0     34    31    91.18
  96   31    0   82.14  82.14    23     28   28      3     31    30    96.77
  97   34    0   72.41  84.00    21     29   25      0     34    32    94.12
  98   32    0   86.96  83.33    20     23   24      2     32    32   100.00
  99   33    0   75.00  75.00    21     28   28      4     33    31    93.94
 100   31    0   77.27  94.44    17     22   18      1     31    30    96.77
 101   30    0   69.57  76.19    16     23   21      0     30    28    93.33
 102   31    0   96.30  92.86    26     27   28      0     31    30    96.77
 103   24    0  100.00  78.95    15     15   19      0     24    23    95.83
 104   28    0   82.35  87.50    14     17   16      1     28    27    96.43
 105   31    0   82.14  88.46    23     28   26      0     31    29    93.55
 106   32    0  100.00  96.43    27     27   28      0     32    32   100.00
 107   30    0   86.96  86.96    20     23   23      1     30    29    96.67
 108   33    0   72.73  80.00    24     33   30      1     33    30    90.91
 109   18    0   69.23  69.23     9     13   13      3     18    17    94.44
 110   29    0   80.77  87.50    21     26   24      2     29    27    93.10
 111   34    0   73.33  75.86    22     30   29      2     34    33    97.06
 112   31    0   86.96  90.91    20     23   22      1     31    30    96.77
 113   32    0   83.33  86.96    20     24   23      2     32    31    96.88
 114   26    0  100.00 100.00    15     15   15      0     26    26   100.00
 115   29    0   84.62  84.62    22     26   26      3     29    29   100.00
 116   33    0   90.32  93.33    28     31   30      1     33    33   100.00
 117   30    0   95.45  95.45    21     22   22      0     30    29    96.67
 118   43    0   97.50 100.00    39     40   39      0     43    42    97.67
 119   38    0   84.85  82.35    28     33   34      0     38    35    92.11
 120   48    0   85.71  88.89    24     28   27      3     48    46    95.83
 121   39    0   84.38  90.00    27     32   30      2     39    37    94.87
 122   97    0   80.72  74.44    67     83   90      9     97    97   100.00
 123   55    0   90.91  86.96    40     44   46      1     55    54    98.18
 124   42    0   97.44  92.68    38     39   41      0     42    42   100.00
 125   49    0   80.56  82.86    29     36   35      5     49    49   100.00
 126   51    0   82.93  85.00    34     41   40      2     51    50    98.04
 127   39    0   64.29  66.67    18     28   27      5     39    39   100.00
 128   40    0   80.00  76.19    16     20   21      3     40    40   100.00
 129   42    0   85.71  80.00    24     28   30      4     42    41    97.62
 130   37    0   53.12  70.83    17     32   24      5     37    35    94.59
 131   35    0   78.57  75.86    22     28   29      3     35    34    97.14
 132   40    0   75.00  80.00    12     16   15      2     40    37    92.50
 133   35    0   80.77  77.78    21     26   27      1     35    33    94.29
 134   37    0   74.19  79.31    23     31   29      2     37    35    94.59
 135   36    0   73.33  95.65    22     30   23      1     36    35    97.22
 136   43    0   85.71  85.71    30     35   35      2     43    42    97.67
 137   88    0   59.68  62.71    37     62   59     12     88    85    96.59
 138   63    0   85.71  93.33    42     49   45      2     63    62    98.41
 139   36    0   83.33  66.67    10     12   15      1     36    32    88.89
 140   38    0   79.41  72.97    27     34   37      6     38    37    97.37
 141   37    0   71.88  85.19    23     32   27      3     37    37   100.00
 142   50    0   90.00  94.74    36     40   38      0     50    50   100.00
 143   54    0   85.37  85.37    35     41   41      2     54    53    98.15
 144   38    0   87.10  87.10    27     31   31      1     38    36    94.74
 145   39    0   74.07  76.92    20     27   26      5     39    39   100.00
 146   41    0   80.00  77.78    28     35   36      2     41    40    97.56
 147   48    0   88.24  81.08    30     34   37      2     48    45    93.75
 148   42    0   97.14  91.89    34     35   37      0     42    40    95.24
 149   56    0   85.71  85.71    36     42   42      1     56    54    96.43
 150   40    0   70.83  70.83    17     24   24      5     40    39    97.50
 151   67    0   94.34  92.59    50     53   54      2     67    63    94.03
 152   39    0   71.43  86.21    25     35   29      4     39    38    97.44
 153   36    0  100.00 100.00    29     29   29      0     36    35    97.22
 154   45    0   80.00  80.00    24     30   30      1     45    43    95.56
 155   39    0   94.59  94.59    35     37   37      1     39    39   100.00
 156   41    0   94.12  91.43    32     34   35      0     41    40    97.56
 157   42    0   82.86  82.86    29     35   35      2     42    38    90.48
 158   33    0   82.61  82.61    19     23   23      1     33    31    93.94
 159   39    0   96.97 100.00    32     33   32      0     39    38    97.44
 160   39    0   88.00  78.57    22     25   28      1     39    36    92.31
 161   37    0   97.14  91.89    34     35   37      0     37    36    97.30
 162   48    0   91.49  91.49    43     47   47      2     48    47    97.92
 163   37    0   87.88  93.55    29     33   31      0     37    36    97.30
 164   36    0   61.54  66.67    16     26   24      2     36    33    91.67
 165   40    0   75.00  77.14    27     36   35      5     40    34    85.00
 166   59    0   88.24  93.75    45     51   48      0     59    58    98.31
 167   35    0   81.48  81.48    22     27   27      2     35    33    94.29
 168   42    0   86.11  88.57    31     36   35      2     42    42   100.00
 169   36    0   93.33  90.32    28     30   31      2     36    36   100.00
 170   47    0   79.49  83.78    31     39   37      1     47    45    95.74
 171   34    0   68.00  73.91    17     25   23      5     34    32    94.12
 172   31    0   56.52  68.42    13     23   19      1     31    31   100.00
 173   42    0   91.43 100.00    32     35   32      0     42    37    88.10
 174   44    0   84.38  77.14    27     32   35      2     44    43    97.73
 175   71    0   68.75  70.97    44     64   62      8     71    68    95.77
 176   38    0   77.78  80.00    28     36   35      3     38    36    94.74
 177   34    0   80.00  85.71    24     30   28      2     34    34   100.00
 178   30    0   91.67 100.00    22     24   22      0     30    30   100.00
 179   34    0  100.00  96.43    27     27   28      0     34    32    94.12
 180   34    0   89.66  96.30    26     29   27      0     34    34   100.00
 181   31    0   85.71  92.31    24     28   26      2     31    29    93.55
 182   26    0   82.61  76.00    19     23   25      2     26    25    96.15
 183   28    0   95.65  91.67    22     23   24      0     28    28   100.00
 184   40    0  100.00 100.00    32     32   32      0     40    36    90.00
 185   43    0   91.89  97.14    34     37   35      0     43    41    95.35
 186   34    0   90.00  90.00    27     30   30      0     34    33    97.06
 187   39    0  100.00 100.00    36     36   36      0     39    38    97.44
 188   39    0   75.00  77.42    24     32   31      3     39    35    89.74
 189   39    0   77.14  87.10    27     35   31      3     39    38    97.44
 190   65    0   83.02  78.57    44     53   56      6     65    62    95.38
 191   26    0   83.33  83.33    15     18   18      1     26    24    92.31
 192   56    0   87.23  87.23    41     47   47      2     56    53    94.64
 193   36    0   76.00  82.61    19     25   23      2     36    36   100.00
 194   30    0   96.00  88.89    24     25   27      0     30    29    96.67
 195   35    0   67.86  65.52    19     28   29      7     35    33    94.29
 196   26    0   86.96  95.24    20     23   21      0     26    26   100.00
 197   33    0   96.15  96.15    25     26   26      0     33    31    93.94
 198   29    0   95.65  84.62    22     23   26      0     29    29   100.00
 199   49    0   95.00  95.00    38     40   40      0     49    48    97.96
 200   39    0   83.33  85.71    30     36   35      2     39    37    94.87
 201   36    0   54.55  60.00    18     33   30      8     36    35    97.22
 202   33    0   96.55  96.55    28     29   29      0     33    33   100.00
 203   44    0   65.00  65.00    26     40   40      8     44    42    95.45
 204   33    0   67.86  82.61    19     28   23      4     33    30    90.91
 205   31    0   96.30  92.86    26     27   28      0     31    30    96.77
 206   27    0   94.74  94.74    18     19   19      0     27    27   100.00
 207   36    0   93.10  96.43    27     29   28      0     36    36   100.00
