  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   12    0   87.50  87.50     7      8    8      0     12    12   100.00
   2   12    0  100.00 100.00     8      8    8      0     12    12   100.00
   3   12    0  100.00 100.00     9      9    9      0     12    12   100.00
   4   14    0  100.00 100.00    11     11   11      0     14    14   100.00
   5   14    0  100.00 100.00     9      9    9      0     14    14   100.00
   6   14    0   66.67  60.00     6      9   10      2     14    14   100.00
   7   15    0   90.00 100.00     9     10    9      0     15    15   100.00
   8   16    0  100.00 100.00    14     14   14      0     16    16   100.00
   9   11    0   83.33  83.33     5      6    6      0     11    11   100.00
  10   13    0   91.67 100.00    11     12   11      0     13    13   100.00
  11   15    0  100.00 100.00    12     12   12      0     15    15   100.00
  12   13    0   88.89  88.89     8      9    9      0     13    10    76.92
  13   13    0  100.00 100.00    11     11   11      0     13    13   100.00
  14   12    0   60.00  66.67     6     10    9      1     12    11    91.67
  15   12    0   75.00  66.67     6      8    9      2     12    12   100.00
  16   14    0  100.00  81.82     9      9   11      0     14    14   100.00
  17   13    0   83.33  90.91    10     12   11      0     13    12    92.31
  18   13    0  100.00 100.00    10     10   10      0     13    13   100.00
  19   16    0  100.00 100.00    14     14   14      0     16    16   100.00
  20   12    0   80.00  72.73     8     10   11      1     12    12   100.00
  21   16    0   50.00  70.00     7     14   10      0     16    16   100.00
  22   13    0  100.00  77.78     7      7    9      0     13    11    84.62
  23   14    0   88.89 100.00     8      9    8      0     14    13    92.86
  24   15    0   66.67  80.00     8     12   10      1     15    15   100.00
  25   14    0  100.00 100.00     9      9    9      0     14    14   100.00
  26   12    0  100.00 100.00    10     10   10      0     12    12   100.00
  27   12    0   44.44  50.00     4      9    8      2     12    11    91.67
  28   15    0   86.67  86.67    13     15   15      0     15    15   100.00
  29   15    0   88.89  88.89     8      9    9      1     15    15   100.00
  30   13    0   72.73  72.73     8     11   11      2     13    12    92.31
  31   10    0  100.00  57.14     4      4    7      0     10     8    80.00
  32   12    0   66.67  85.71     6      9    7      1     12    12   100.00
  33   13    0   55.56  62.50     5      9    8      2     13    13   100.00
  34   16    0   69.23  69.23     9     13   13      3     16    13    81.25
  35   14    0   92.86  92.86    13     14   14      0     14    13    92.86
  36   15    0  100.00 100.00    14     14   14      0     15    15   100.00
  37   12    0  100.00 100.00     8      8    8      0     12    12   100.00
  38   13    0  100.00 100.00    11     11   11      0     13    13   100.00
